Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2019-05-06,394.17682,396.1874,405.32364,387.94196,397.449,401.827,2127966.5,85450670000000.0,1075724.5,0.44010386
2019-05-07,394.70886,396.72797,405.9056,388.49417,397.98538,402.36102,2125468.8,85493404000000.0,1074379.4,0.44003275
2019-05-08,395.17862,397.20633,406.41858,388.9814,398.45856,402.83368,2123185.2,85522170000000.0,1073128.1,0.4399732
2019-05-09,395.56702,397.6046,406.8537,389.38913,398.8531,403.22076,2121162.5,85551900000000.0,1072113.9,0.4399278
2019-05-10,395.8606,397.90775,407.19638,389.70386,399.15332,403.5081,2119466.5,85582620000000.0,1071362.0,0.4398971
2019-05-13,396.02274,398.07944,407.4149,389.89166,399.32428,403.65472,2118232.5,85620190000000.0,1071013.0,0.43988305
2019-05-14,396.02164,398.08752,407.47818,389.92245,399.3329,403.62643,2117564.5,85664650000000.0,1071139.2,0.43988827
2019-05-15,395.7889,397.8637,407.3216,389.73117,399.1114,403.3499,2117689.0,85718050000000.0,1071933.5,0.4399193
2019-05-16,395.30887,397.38925,406.91748,389.29874,398.63712,402.8126,2118672.2,85761740000000.0,1073294.8,0.43997598
2019-05-17,394.55106,396.63385,406.2344,388.5959,397.87848,401.98273,2120582.8,85789094000000.0,1075256.6,0.44006124
2019-05-20,393.49698,395.5786,405.24722,387.6023,396.81458,400.84363,2123492.2,85787530000000.0,1077789.8,0.44017577
2019-05-21,392.214,394.2878,403.99564,386.37265,395.50208,399.47665,2127275.0,85718090000000.0,1080478.5,0.44030514
2019-05-22,390.82248,392.88058,402.5805,385.01663,394.05704,398.0164,2131565.8,85557500000000.0,1082874.5,0.44043642
2019-05-23,389.41232,391.4512,401.09958,383.62408,392.5779,396.5569,2136015.2,85320935000000.0,1084864.0,0.44056696
2019-05-24,388.10907,390.12796,399.67914,382.3164,391.19473,395.23,2140254.2,85015890000000.0,1086205.2,0.44067854
2019-05-27,387.02756,389.0291,398.44495,381.2093,390.03043,394.1538,2143894.2,84668010000000.0,1086775.6,0.4407624
2019-05-28,386.28418,388.2713,397.51755,380.41647,389.20502,393.44876,2146581.5,84295160000000.0,1086391.8,0.44080716
2019-05-29,385.9286,387.90842,396.9662,379.99246,388.77936,393.16046,2148191.0,83935820000000.0,1085201.5,0.44080913
2019-05-30,386.05774,388.03583,396.89728,380.0357,388.85275,393.3861,2148369.0,83615110000000.0,1083076.9,0.44076177
2019-05-31,386.6387,388.6259,397.31537,380.52847,389.4069,394.07632,2147133.8,83386520000000.0,1080448.2,0.4406713
2019-06-03,387.70923,389.71036,398.24933,381.5049,390.471,395.27142,2144408.0,83245440000000.0,1077144.0,0.44053125
2019-06-04,389.24097,391.26096,399.67984,382.94144,392.01773,396.93695,2140232.2,83200815000000.0,1073279.1,0.4403446
2019-06-06,391.22614,393.26804,401.59848,384.83124,394.03683,399.06354,2134606.0,83250780000000.0,1068839.8,0.440112
2019-06-07,393.61115,395.67807,403.95908,387.12598,396.476,401.59174,2127636.2,83400340000000.0,1063984.4,0.43984166
2019-06-10,396.36267,398.45505,406.721,389.79138,399.2962,404.4881,2119391.5,83634980000000.0,1058677.8,0.43953907
2019-06-11,399.42746,401.54623,409.83508,392.778,402.44485,407.69504,2109972.2,83952420000000.0,1053035.2,0.43921226
2019-06-12,402.73624,404.88284,413.23566,396.02057,405.85263,411.1378,2099538.0,84349634000000.0,1047208.0,0.4388706
2019-06-13,406.2184,408.39264,416.84567,399.44913,409.44354,414.74454,2088256.9,84806940000000.0,1041226.8,0.438522
2019-06-14,409.7498,411.95422,420.55136,402.9469,413.09753,418.3811,2076479.8,85329090000000.0,1035454.6,0.43818268
2019-06-17,413.2444,415.47873,424.25333,406.42587,416.72015,421.96188,2064489.2,85889140000000.0,1029917.94,0.43786037
2019-06-18,416.62112,418.8845,427.86514,409.80518,420.22733,425.40396,2052537.9,86472090000000.0,1024727.7,0.4375645
2019-06-19,419.78305,422.07385,431.28204,412.98804,423.51694,428.60867,2040919.4,87055120000000.0,1019977.44,0.43730393
2019-06-20,422.66907,424.9849,434.43304,415.9111,426.52396,431.51648,2029861.0,87619740000000.0,1015709.56,0.4370849
2019-06-21,425.22684,427.56448,437.25928,418.5204,429.19348,434.07574,2019552.6,88152710000000.0,1011978.8,0.43691334
2019-06-24,427.36197,429.7203,439.66763,420.7238,431.4321,436.18774,2010348.1,88647800000000.0,1009020.5,0.43679422
2019-06-25,429.03082,431.40747,441.60312,422.47394,433.19083,437.81107,2002466.8,89085950000000.0,1006834.1,0.43672574
2019-06-26,430.18423,432.5775,443.0121,423.72067,434.41885,438.89664,1996129.8,89456660000000.0,1005499.3,0.43670765
2019-06-27,430.86035,433.26462,443.90826,424.49088,435.1446,439.494,1991350.5,89729130000000.0,1004735.06,0.43672803
2019-06-28,431.0348,433.44894,444.27615,424.76346,435.35114,439.57596,1988242.4,89915270000000.0,1004729.7,0.43678766
2019-07-01,430.7744,433.19363,444.16324,424.59512,435.09723,439.22076,1986684.9,89993860000000.0,1005174.75,0.43687484
2019-07-02,430.15393,432.57394,443.63892,424.05527,434.4594,438.50995,1986520.8,89965506000000.0,1005921.0,0.43697983
2019-07-03,429.24896,431.6675,442.78226,423.2176,433.51837,437.52286,1987555.8,89843140000000.0,1006890.2,0.43709442
2019-07-04,428.1277,430.54425,441.66858,422.15054,432.34784,436.32898,1989598.8,89645720000000.0,1008051.4,0.43721172
2019-07-05,426.88602,429.29895,440.39258,420.94623,431.0443,435.02936,1992374.1,89382824000000.0,1009217.9,0.43732315
2019-07-08,425.58,427.99008,439.02368,419.66458,429.67114,433.67825,1995655.1,89079930000000.0,1010407.0,0.43742785
2019-07-09,424.26712,426.67474,437.6302,418.36493,428.29062,432.33133,1999248.9,88762965000000.0,1011629.8,0.43752515
2019-07-10,422.96017,425.36713,436.23712,417.0646,426.92062,430.99698,2003112.9,88454315000000.0,1012995.7,0.43761557
2019-07-11,421.66998,424.07767,434.8632,415.7775,425.5738,429.68195,2007186.9,88168045000000.0,1014550.06,0.43769908
2019-07-12,420.38812,422.7975,433.50403,414.49777,424.24176,428.375,2011488.8,87911570000000.0,1016344.75,0.4377775
2019-07-15,419.1029,421.51364,432.14764,413.2144,422.91092,427.06284,2016030.0,87683030000000.0,1018375.9,0.4378526
2019-07-16,417.79794,420.20963,430.78134,411.914,421.5656,425.72626,2020812.8,87486270000000.0,1020691.75,0.43792912
2019-07-17,416.50925,418.91824,429.4284,410.62775,420.23483,424.40707,2025705.2,87303360000000.0,1023055.5,0.43800357
2019-07-18,415.2829,417.6841,428.12354,409.39618,418.96063,423.15778,2030542.9,87116340000000.0,1025226.75,0.43807125
2019-07-19,414.16464,416.55414,426.91205,408.26398,417.79086,422.02734,2035140.4,86924560000000.0,1027091.06,0.4381303
2019-07-22,413.18124,415.5577,425.82816,407.26004,416.7571,421.0416,2039343.2,86737000000000.0,1028641.94,0.43818069
2019-07-23,412.33954,414.70352,424.88782,406.3944,415.8706,420.20468,2043087.5,86565830000000.0,1029942.2,0.43822414
2019-07-24,411.6052,413.96054,424.07382,405.63992,415.1047,419.47394,2046459.0,86435050000000.0,1031247.7,0.43826458
2019-07-25,410.91147,413.2604,423.3222,404.93326,414.38998,418.77747,2049635.1,86344540000000.0,1032699.6,0.43831018
2019-07-26,410.23767,412.58047,422.61267,404.2547,413.70367,418.0924,2052671.5,86294940000000.0,1034335.4,0.4383639
2019-07-29,409.45984,411.799,421.8321,403.4881,412.9246,417.2845,2055947.1,86291390000000.0,1036516.06,0.43843693
2019-07-30,408.54025,410.8736,420.92752,402.59128,412.0051,416.31836,2059631.4,86310925000000.0,1039168.2,0.43852958
2019-07-31,407.43512,409.75937,419.84814,401.51904,410.89816,415.15097,2063894.5,86339780000000.0,1042320.8,0.43864512
2019-08-01,406.0882,408.39996,418.53162,400.21466,409.54434,413.7254,2068911.2,86361520000000.0,1046016.94,0.4387872
2019-08-02,404.4754,406.77072,416.94574,398.65198,407.91644,412.0202,2074771.4,86360535000000.0,1050223.0,0.43895677
2019-08-05,402.58228,404.85663,415.0666,396.81293,405.99612,410.024,2081527.2,86318710000000.0,1054865.9,0.43915385
